Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K01019;"Zuleitung 3G2,5          230 V; UK UKR U5R U7R U8R E5 (A)";39.0;0.07
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04385;"Berührschutz; MAK 18,25,32,36,40,58,65 u. MEK 18,25";5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03278;"Mutter; SM-M 25x1,5";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03279;"Reduzierung; MR-M 25/20";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04240;Joint gasket, MEG-23 / MEG-17;24.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05245;"Schweißschuh; 42.01.30F.ITB-40-40 M";8.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05150;"Vorlegewelle; WX2/UX1";4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05164;"Verbindungskabel kompl.;";20.0;0.03
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04362;"Sicherungsring; I   38 x 1,5";4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07277;"Halterung; MEK 18/25, K-RHP, MLE-oben";14.0;0.02
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04237;"Ausblasrohr; MEG-23 / MEG-17";6.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03834;Circlip 800001;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05144;"Ritzelwelle; 301167";3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05146;Getriebegehäuse für WX2 Antrieb;4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02701;Melting chamber MA/E-25 u. 25-S;5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05147;"Bodenrad; WX2/UX1";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05149;"Ritzelrad; WX2Mu/UX1";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05189;"Luftleitscheibe; Antrieb DB, UX1";5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05163;"Hülse; 401383";8.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K00625;"Passfeder; 5 x 5 x 14";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02941;"Handgriff; M 8            MA/E-25 u. 25-S";9.0;0.02
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07284;"Verschraubung; RQG-M, schwarz, AD13, M16x1,5";4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04243;"Wellschlauch schwarz; PA-UL-F NW10mm";23.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03127;"Mutter; SM-M 16x1,5";5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03248;"Protective tube 19,5 x 12,7; MA/E-25";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05210;Transportkoffer, ARCAS 001 (MAK / MEK bis 32);2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04554;"Housing for Airheater; MLE-23/ MLE-17";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02644;"Grip handle; left";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03236;"Schutzrohr 17,2 x 91,5; MA/E-25";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K01901;"Schweißschuh I, mit Halter; Rundschuh, D=20mm, zylindrisch";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07407;Kabelverschraubung flexibel, Metall, M20x1,5;15.0;0.03
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07285;"Kabelverschraubung; STS, M16, 8-10";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05136;"Paßscheibe UX1; 901030";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04943;"Kabel vorkonfektioniert; 1² - 27cm, grün/gelb";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04387;"Berührschutz; 18 u. 25 klein";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03070;Washer MA/E-60,40,25 u. 25-S;4.0;0.01
