Bauteil,Menge,Cluster,Frequenz,Jahr
"K07313 (Senkkopfschraube; M4x12 -10.9 TX, ISO 7500-1)",0.0,1,niedrig (< 12),2019
"K07480 (Scheibe; 3,2 x 9 x 0,8)",0.0,1,niedrig (< 12),2019
K07481 (Zylinderschraube; M  3 x 16),0.0,1,niedrig (< 12),2019
"K07491 (Montagesatz; für Umrichter K07482, in K02782C)",0.0,1,niedrig (< 12),2019
K07504 (Distanzblech; 250 x 125 x 3),0.0,1,niedrig (< 12),2019
"K07509 (Isolierfolie; 40 x 40 x 0,225mm)",0.0,1,niedrig (< 12),2019
"K07513 (Abstandshalter; AG M4, 12, SW 8)",0.0,1,niedrig (< 12),2019
K07514 (Senkschraube; M  5 x   8),0.0,1,niedrig (< 12),2019
K07515 (Senkschraube; M  5 x  16),0.0,1,niedrig (< 12),2019
"K07503 (Distanzblech; 120 x 60 x 7,5)",0.0,1,niedrig (< 12),2019
K05429 (Lagerhülse; 10x50),0.0,1,niedrig (< 12),2019
K06624 (Handgriff; M8/M14),0.0,1,niedrig (< 12),2019
"K01231 (cable strip; 2,4 x  92 TYB 23 M  TB)",0.0,1,niedrig (< 12),2019
K02409 (Retaining washer; S4),0.0,1,niedrig (< 12),2019
"K07332 (Treiber BMU-Serie, BMUD120-C2)",0.0,1,niedrig (< 12),2019
"K03599C (Gehäuse-Rückteil, für Powerbox K02782C)",0.0,1,niedrig (< 12),2019
"K04941 (Kabel vorkonfektioniert; 1,5² - 6 cm, schwarz)",0.0,1,niedrig (< 12),2019
K06799 (Kappe Complete EBM13 401099),0.0,1,niedrig (< 12),2019
K07181 (Wellschlauch MEG-23),0.0,1,niedrig (< 12),2019
K06137 (Motorhousing incl. Field coil; EBM13),0.0,1,niedrig (< 12),2019
K02437 (Softpack; EBM13),0.0,1,niedrig (< 12),2019
K02412 (Fillister head screw M3 x 6),0.0,1,niedrig (< 12),2019
K02408 (Brush rocker; EBM13),0.0,1,niedrig (< 12),2019
K04100 (Düse; 69                         6mm),0.0,1,niedrig (< 12),2019
"K07634 (Frequenzumrichter  kompl. ;  Austausch, Typ C)",0.0,1,niedrig (< 12),2019
K03841 (Paßfeder; A4 x 4 x 8 hart),0.0,1,niedrig (< 12),2019
K07368 (Regler f. Extruder; 230 V / 250W MM),0.0,1,niedrig (< 12),2019
K00218 (Ball bearing 626 2RS 14311223),12.0,2,"mittel (>12, <182)",2020
K03960 (Nilos-Ring; 6003 Z AV                   MM),11.0,1,niedrig (< 12),2020
"K03964 (Motoreinheit, 230V; Vorwärmung                  MM)",156.0,2,"mittel (>12, <182)",2020
"K03989 (Regler; für Gebläse u. Heizung, Typ K)",19.0,2,"mittel (>12, <182)",2020
K03990 (connecting board; Type K),33.0,2,"mittel (>12, <182)",2020
K04089A (Extruderschnecke; MAE/K-36/40),0.0,1,niedrig (< 12),2020
K04110 (Geräteschalter MINI; ohne Drehzahlregelung),45.0,2,"mittel (>12, <182)",2020
"K04135 (Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM)",50.0,2,"mittel (>12, <182)",2020
"K03949 (Kohlebuerste 230V; BE 1020 , 0044, 1 VE=2Stück)",2.0,1,niedrig (< 12),2020
K04137 (Knickschutztülle 9-11; 5200 2020    MM),4.0,1,niedrig (< 12),2020
"K04234 (Heating element, 2300W, 230V, MEG-23)",104.0,2,"mittel (>12, <182)",2020
K04258 (Frontfolie; Tasten für Regler MM),19.0,2,"mittel (>12, <182)",2020
K04259 (Frontfolie Display; für Regler  MM),47.0,2,"mittel (>12, <182)",2020
K04310 (Kabelsatz; MM-Xtruder),0.0,1,niedrig (< 12),2020
"K04318 (Heating complete, 230 V / 2300 W)",43.0,2,"mittel (>12, <182)",2020
K04361 (Rillenkugellager; 6003 2RS C3 FT150),271.0,3,hoch (> 182),2020
K04416 (Griffschale - links; Antrieb UX1),13.0,2,"mittel (>12, <182)",2020
"K04232 (Elektronikeinheit; 230V, MEG-23)",147.0,2,"mittel (>12, <182)",2020
"K03938 (RI.KU.LA 8x 19x 6; BE 1020 , 0032)",3.0,1,niedrig (< 12),2020
"K03937 (Anker vollst. 230V (mit Tac); BE 1020 , 0031)",1.0,1,niedrig (< 12),2020
"K03923 (Rillenkugellager. 15x 32x 9; BE 1020 , 0016)",3.0,1,niedrig (< 12),2020
K03839 (Sicherungsring; A14),143.0,2,"mittel (>12, <182)",2020
K03846 (Nadelhülse; HK 0910),2.0,1,niedrig (< 12),2020
K03847 (Axiallagerscheibe; AS 0414),4.0,1,niedrig (< 12),2020
K03848 (Cable screw fitting; PG16),14.0,2,"mittel (>12, <182)",2020
K03849 (Axialnadelkranz; AXK 0414),2.0,1,niedrig (< 12),2020
K03850 (Nadelhülse; HK 1010),4.0,1,niedrig (< 12),2020
K03852 (Rillenkugellager; 6000-2BRS C3),182.0,3,hoch (> 182),2020
K03853 (Lagerkappe; WX2),1.0,1,niedrig (< 12),2020
K03879 (Extruderschnecke; MM),0.0,1,niedrig (< 12),2020
K03882B (Schmelzkammer; MM),2.0,1,niedrig (< 12),2020
K03883 (Nozzle 40-6                        MM),10.0,1,niedrig (< 12),2020
K03889 (Heizspirale; 18x125                      MM),22.0,2,"mittel (>12, <182)",2020
K03890 (Drive unit; 40 / 42 MM),42.0,2,"mittel (>12, <182)",2020
K03894 (Axiallüfter; 40 x 40 x 25                MM),0.0,1,niedrig (< 12),2020
"K03910 (Bohrspindel; BE 1020 , 0003; genutet)",2.0,1,niedrig (< 12),2020
"K03918 (Ritzelw. m. Rutschkup.; BE 1020 , 0011)",1.0,1,niedrig (< 12),2020
"K03920 (Getriebeflansch vollst.; BE 1020 , 0013)",1.0,1,niedrig (< 12),2020
K04417 (Griffschale - rechts; Antrieb UX1),9.0,1,niedrig (< 12),2020
K03836 (Antriebsspindel; WX2/UX1),2.0,1,niedrig (< 12),2020
"K04444 (Regler; Typ H, A-S-18.01, 230V)",23.0,2,"mittel (>12, <182)",2020
"K04510 (Düse; 40, MA/E-K-18-S, 4mm)",2.0,1,niedrig (< 12),2020
K05538 (Schneidkopf 18-9; MM),78.0,2,"mittel (>12, <182)",2020
K05539 (Einzugshülse V; MM),77.0,2,"mittel (>12, <182)",2020
K05540 (Einzugshülse V; MM),16.0,2,"mittel (>12, <182)",2020
K05544 (Rillenkugellager;),66.0,2,"mittel (>12, <182)",2020
K05574 (Flansch;),65.0,2,"mittel (>12, <182)",2020
K05575 (Vorlegerad; 401357),16.0,2,"mittel (>12, <182)",2020
K05585 (Cover network;),1225.0,3,hoch (> 182),2020
K05492 (Frequency Converter complete;reconditioned),38.0,2,"mittel (>12, <182)",2020
K05674 (Housing cover; UX1),13.0,2,"mittel (>12, <182)",2020
K05766 (Motorgehäuse komplett; WX2Mu),0.0,1,niedrig (< 12),2020
"K05924 (Reparatur, Regler; für Gebläse u. Heizung, Typ K)",54.0,2,"mittel (>12, <182)",2020
K06058 (Lüfterabdeckung mit Filter ;  MM),0.0,1,niedrig (< 12),2020
K06725 (Extruder screw MM),39.0,2,"mittel (>12, <182)",2020
K06766 (Gleichrichter Powerbox),9.0,1,niedrig (< 12),2020
K06773 (Öl; 100ml),8.0,1,niedrig (< 12),2020
K06972 (Rillenkugellager + Lagerhülse; montiert),113.0,2,"mittel (>12, <182)",2020
K05682 (Cover network;),585.0,3,hoch (> 182),2020
"K05442 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",23.0,2,"mittel (>12, <182)",2020
K05406 (Kurzschlussverbindung),0.0,1,niedrig (< 12),2020
K05377 (Federdrahtbügel; für Kabelbaum FU),4.0,1,niedrig (< 12),2020
K04719 (Schaltgehäuse-Unterteil; Schwarz mit feiner Struktur MM),5.0,1,niedrig (< 12),2020
K04737 (Rubber connector),192.0,3,hoch (> 182),2020
"K04785 (Kabelklammer, Polyethylen; Größe 4)",241.0,3,hoch (> 182),2020
K04808B (Temperature control 230 V / 250W   MM),27.0,2,"mittel (>12, <182)",2020
K04814 (Knob cover; black),12.0,2,"mittel (>12, <182)",2020
K04886A (Kohlebürste UX1; 2412),305.0,3,hoch (> 182),2020
K04945 (Lüftereinheit Antrieb; vormontiert),0.0,1,niedrig (< 12),2020
"K04946 (Fan guard, controller  MM)",0.0,1,niedrig (< 12),2020
K05111 (Geräteschalter UX1; ohne Drehzahlregelung),2.0,1,niedrig (< 12),2020
K05131 (Anker UX1 230V),98.0,2,"mittel (>12, <182)",2020
K05148 (Vorlegerad;UX1),82.0,2,"mittel (>12, <182)",2020
K05150 (Vorlegewelle; WX2/UX1),2.0,1,niedrig (< 12),2020
K05151 (Zwischendeckel; UX1),2.0,1,niedrig (< 12),2020
K05154 (Field coil UX1 230V),7.0,1,niedrig (< 12),2020
K05160 (Kabelbaum; UX1),5.0,1,niedrig (< 12),2020
K05202 (Controller MM; Repair),56.0,2,"mittel (>12, <182)",2020
K05238 (Rillenkugellager),7.0,1,niedrig (< 12),2020
"K04509 (Düse; 30, MA/E-K-18/25, 3mm)",18.0,2,"mittel (>12, <182)",2020
K03832 (Rillenkugellager; 608 BRS),291.0,3,hoch (> 182),2020
K04172 (Öl; 80ml),274.0,3,hoch (> 182),2020
"K03769 (Motorgehäuse 301500_UX1; Antrieb DB, UX1)",33.0,2,"mittel (>12, <182)",2020
"K02355 (Kohlebürste; EBM13/EBL21SKE, 6,4x16x18)",18.0,2,"mittel (>12, <182)",2020
K02381 (Rillenkugellager; 6200),8.0,1,niedrig (< 12),2020
K02383A (Wellendichtring; 30x42x7 - BA),9.0,1,niedrig (< 12),2020
K02385 (Antriebsspindel; EBM13),1.0,1,niedrig (< 12),2020
K02389 (Flansch; EBM13),1.0,1,niedrig (< 12),2020
K02392 (Sicherungsring; A18),8.0,1,niedrig (< 12),2020
K02399 (Rillenkugellager; 6001),8.0,1,niedrig (< 12),2020
K02300 (Heating element 32A1 for Elect; 230 Volt 3300 Watt),0.0,1,niedrig (< 12),2020
"K02401 (O-Ring; 75,87 x 2,62)",9.0,1,niedrig (< 12),2020
K02435 (Geräteschalter; EBM13/WX2),6.0,1,niedrig (< 12),2020
"K02440 (Anker gew. mit Lüfter; EBM13, 230V)",1.0,1,niedrig (< 12),2020
K02441 (Rillenkugellager; 7 x 22 x 7;),7.0,1,niedrig (< 12),2020
K02444 (Wellendichtring; 14 x 28 x 7),9.0,1,niedrig (< 12),2020
K02500 (Turbine housing upper part; complete; 107763),3.0,1,niedrig (< 12),2020
K02502 (Thermocouple for electron; without electronic),6.0,1,niedrig (< 12),2020
K02504 (Relay for hot-air blower; Electron without electronic),3.0,1,niedrig (< 12),2020
K02432 (Blind cover EBM13 800134),18.0,2,"mittel (>12, <182)",2020
"K02278 (Schaltgehäuse-Deckel; S/R, MA/E-60,40,25,G50 230/400)",5.0,1,niedrig (< 12),2020
K02125 (Kompressionsdüse; MA/E-60),4.0,1,niedrig (< 12),2020
K01989 (Ball bearing 61905-2RS1),17.0,2,"mittel (>12, <182)",2020
K00438 (Temperaturendschalter 135°C; 5825 (Klixon)),0.0,1,niedrig (< 12),2020
K00474 (Heizelement 32.1; 230 Volt 2200 Watt),0.0,1,niedrig (< 12),2020
K00511 (Samicanite tube 5667),0.0,1,niedrig (< 12),2020
"K00519 (Motor (high-speed) 230 Volt 230 Volt, 5701)",10.0,1,niedrig (< 12),2020
K00537 (Axial ball bearing 51105),17.0,2,"mittel (>12, <182)",2020
K00610 (Gleitlager; 6 x 12 x 8),4.0,1,niedrig (< 12),2020
K00627 (Gleitlager; 8 x 12 x 8),4.0,1,niedrig (< 12),2020
K00652 (Bundlager; 16 x 22 x 28 x 3 x 12),7.0,1,niedrig (< 12),2020
K03831 (Rillenkugellager; 6000 BRS),147.0,2,"mittel (>12, <182)",2020
K00713 (Luftschlauch; 9 x 3; durchsichtig),0.0,1,niedrig (< 12),2020
K00744 (Extruderschnecke; UKR SKR (A)),0.0,1,niedrig (< 12),2020
K01017 (Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)),57.0,2,"mittel (>12, <182)",2020
K01068 (Axialrillenkugellager; 51104),8.0,1,niedrig (< 12),2020
K01081 (Filter H 5519/5619/5719/3419/11919),7.0,1,niedrig (< 12),2020
K01203 (Air baffle 5612 A),9.0,1,niedrig (< 12),2020
K01485 (Mains connection clamp K 24/5 S l),0.0,1,niedrig (< 12),2020
K01598 (Handgriff; M 8 MU / 314000540),0.0,1,niedrig (< 12),2020
K02517 (Rillenkugellager; 6006 2RS),2.0,1,niedrig (< 12),2020
K02597 (Heizelement 32A1 für Electron; 230 Volt 2200 Watt mit Bohrung),13.0,2,"mittel (>12, <182)",2020
"K00659 (Seeger-Greifring; G   5,5 x 0,8)",4.0,1,niedrig (< 12),2020
K02644 (Griffschale - links; Antrieb WX2),18.0,2,"mittel (>12, <182)",2020
"K03348 (Connecting cable; Powerbox, orange)",83.0,2,"mittel (>12, <182)",2020
"K03482 (Senkschraube; DIN 7991, M 4 x  12)",0.0,1,niedrig (< 12),2020
"K03586 (Erdungskabel komp.; WX2Mu, UX1)",9.0,1,niedrig (< 12),2020
K03587 (Rotor; 101184),16.0,2,"mittel (>12, <182)",2020
K03588 (Sicherungsring; SW 10),143.0,2,"mittel (>12, <182)",2020
K03592 (Lasche; oben WX2),0.0,1,niedrig (< 12),2020
K03597 (Lasche; unten WX2),7.0,1,niedrig (< 12),2020
K03614 (Platine; poti kompl.),15.0,2,"mittel (>12, <182)",2020
K03626 (Cap; 802053),30.0,2,"mittel (>12, <182)",2020
K03629 (Connection cable complete; für Powerbox WX2),5.0,1,niedrig (< 12),2020
K03635 (Wellendichtring; 25x42x7 - BA),147.0,2,"mittel (>12, <182)",2020
K03636 (O-Ring; 62 x 2),150.0,2,"mittel (>12, <182)",2020
"K03640 (Dichtring; 4,5 x 7 x 1  U-Seal Standard)",441.0,3,hoch (> 182),2020
"K03681 (Radialwellendichtring; BE 1020 , 0015)",2.0,1,niedrig (< 12),2020
K03701 (Axial ball bearing 51305),60.0,2,"mittel (>12, <182)",2020
K03702 (Ball bearing 6005 2RS C3 FT150),59.0,2,"mittel (>12, <182)",2020
"K02603 (Rohrheizpatrone; 21x31x 58, 230V, 400W)",40.0,2,"mittel (>12, <182)",2020
K03336 (Front foil; to controller Type K),53.0,2,"mittel (>12, <182)",2020
"K03276 (Screwed cable guide BS-M 20x1,5)",24.0,2,"mittel (>12, <182)",2020
"K03638 (Wellendichtring; 10x19x7 Viton, Form A)",150.0,2,"mittel (>12, <182)",2020
K03114 (Klemmring; MA/E-25 u. 25-S),6.0,1,niedrig (< 12),2020
K03115 (Distanzhülse; MA/E-25 u. 25-S),1.0,1,niedrig (< 12),2020
K02648 (Fan - complete; Drive DB),28.0,2,"mittel (>12, <182)",2020
K02669 (Axialrillenkugellager; 51203),319.0,3,hoch (> 182),2020
K02645 (Griffschale - rechts; Antrieb),11.0,1,niedrig (< 12),2020
"K02689 (Kabel vorkonfektioniert; 230V 3x2,5mm² 7m lg.)",37.0,2,"mittel (>12, <182)",2020
"K02696 (Vorwärmdüse 20; MA/E-25 u. 25-S ,UkR,SkR, MAK18/25)",29.0,2,"mittel (>12, <182)",2020
K02701 (Melting chamber MA/E-25 u. 25-S),3.0,1,niedrig (< 12),2020
"K02753 (Schalter , Baugruppe; MA/E-60,40,25)",0.0,1,niedrig (< 12),2020
K02670 (Rillenkugellager; 6003-2RS1),12.0,2,"mittel (>12, <182)",2020
K02921 (Düse; 29             MA/E-25(PE) 2mm),3.0,1,niedrig (< 12),2020
K02922 (Kompressionsdüse; MA/E-25 u. 25-S MAK-18),6.0,1,niedrig (< 12),2020
"K02954 (Kohlen zu Electron 230V; ""abschaltbar"")",18.0,2,"mittel (>12, <182)",2020
K02965 (Dichtring; MA/E-25 u. 25-S),191.0,3,hoch (> 182),2020
K03035 (Circlip H 16),27.0,2,"mittel (>12, <182)",2020
K03067 (Druckhebel 1/1-1/R; MA/E-25 u. 25-S),140.0,2,"mittel (>12, <182)",2020
K03068 (Pressure lever 2/1-1/R MA/E-40 u. 60),57.0,2,"mittel (>12, <182)",2020
K03113 (Führungsstange; MA/E-25 u. 25-S),7.0,1,niedrig (< 12),2020
K04237 (Hot air tube),3.0,1,niedrig (< 12),2020
K03893 (Griffschale - rechts; Spritzgussteil              MM),6.0,1,niedrig (< 12),2020
K03892 (Griffschale - links; Spritzgussteil         MM),43.0,2,"mittel (>12, <182)",2020
K04352 (Stützring; MAE/K-18/25 u. 18-S),1.0,1,niedrig (< 12),2020
K04429 (Distanzhülse; 18 bei Berührschutz),51.0,2,"mittel (>12, <182)",2020
K06761 (Aufkleber; Abkühlzeit Deutsch-Englisch),4.0,1,niedrig (< 12),2020
K05156 (Bürstenhalter;   UX1),23.0,2,"mittel (>12, <182)",2020
"K04813 (Rotatable part; d15, 6mm)",7.0,1,niedrig (< 12),2020
K04468 (Schaltgehäuse-Unterteil; K - Regler),8.0,1,niedrig (< 12),2020
K04445 (Shaft; Controller Typ H),3.0,1,niedrig (< 12),2020
"K02203 (Air connection; angle 1/4"")",2.0,1,niedrig (< 12),2020
K00745 (Haltewinkel; UKR U5R U7R (A)),0.0,1,niedrig (< 12),2020
K00651 (Worm wheel UK SK UKR SKR (A)),1.0,1,niedrig (< 12),2020
K00589 (Verschraubung; PG 9),0.0,1,niedrig (< 12),2020
K00568 (Bundlager; 20 x 26 x 32 x 25),0.0,1,niedrig (< 12),2020
"K00536 (Sicherungsring; I   42 x 1,75)",2.0,1,niedrig (< 12),2020
"K00484 (O-Ring  d75,92 x d1,78; 5614)",2.0,1,niedrig (< 12),2020
"K00475 (Kohle ""35"" für 230/400 V Gerät; 5702 / 101.250 für Minor)",0.0,1,niedrig (< 12),2020
"K00638 (Drahtführung; 8 X 1,5      UK SK UKR SKR (A))",0.0,1,niedrig (< 12),2020
K02589 (Extruderschnecke; MA/E-40),0.0,1,niedrig (< 12),2020
"K00657 (Sicherungsring; I   35 x 1,5)",4.0,1,niedrig (< 12),2020
K03623 (Einbaudose kompl.; Munsch konfektioniert),38.0,2,"mittel (>12, <182)",2020
K03603 (Abstandsclip; für Leiterplatten),1.0,1,niedrig (< 12),2020
"K03406 (cable srew fitting, metal PG 16)",0.0,1,niedrig (< 12),2020
K02717 (Kohlebürstenführung Triac; 0172/0272),2.0,1,niedrig (< 12),2020
K02966 (Dichtring; MA/E-40 u. 60),3.0,1,niedrig (< 12),2020
K02924 (Extruder screw MA/E-25 u. 25-S),19.0,2,"mittel (>12, <182)",2020
"K04240 (Joint gasket, MEG-23 / MEG-17)",7.0,1,niedrig (< 12),2020
"K04253 (Isolierfolie zu MM-Xtruder; 0,25mm)",1.0,1,niedrig (< 12),2020
"K03951 (Kabelschutz; BE 1020 , 0047)",4.0,1,niedrig (< 12),2020
K03886 (Berührschutz       Heizspirale; MM),1.0,1,niedrig (< 12),2020
"K07067 (Körper; MAE/K-18/25 u. 18-S, drehbarer Griff)",3.0,1,niedrig (< 12),2020
K07155 (Griffring; GMAEK 18/25),5.0,1,niedrig (< 12),2020
K07041 (Berührschutz; MAK 18/25 dG),3.0,1,niedrig (< 12),2020
"K06915 (Netzkabel, kpl; Wedge It multi)",0.0,1,niedrig (< 12),2020
K06117 (Schweißschuh MM; 67.0120FF-32-20-M),1.0,1,niedrig (< 12),2020
"K04943 (Cable vorkonfektioniert; 1² - 27cm, grün/gelb)",1.0,1,niedrig (< 12),2020
K05048 (Motorschutzschalter; 8010608                AM 11.2),2.0,1,niedrig (< 12),2020
K05419 (Reduzierung; PG 21 auf PG 16),0.0,1,niedrig (< 12),2020
K05143 (Anker UX1 230V; 401466;),0.0,1,niedrig (< 12),2020
K02496 (Gummiring ohne Noppen),2.0,1,niedrig (< 12),2020
K02438 (Compensating shim washer UX1/EBM13 800266),0.0,1,niedrig (< 12),2020
K02205 (Staubschutzkappe; U1231),8.0,1,niedrig (< 12),2020
"K00662 (Paßscheibe, 6 x 10 x 1; UK SK UKR SKR U5R (A))",0.0,1,niedrig (< 12),2020
"K00658 (Sicherungsring; A   20 x 1,2)",0.0,1,niedrig (< 12),2020
"K02551 (Rohrheizpatrone; 30x40x170, 230V, 650W)",6.0,1,niedrig (< 12),2020
K00583 (Gleitlager; 14 x 20 x 20),0.0,1,niedrig (< 12),2020
K00582 (Gleitlager; 10 x 16 x 16),0.0,1,niedrig (< 12),2020
K00581 (Gleitlager; 5 x 10 x 10              U2 U4),0.0,1,niedrig (< 12),2020
K00575 (Sicherungsring; A   10 x 1),0.0,1,niedrig (< 12),2020
"K00452 (Linsenschraube M 4 x 10; mit Innensechsrund, TX20)",0.0,1,niedrig (< 12),2020
K00254 (Kugellager  608 2RS1; 8 X 22 X 7),2.0,1,niedrig (< 12),2020
K00645 (Fördergehäuse; UK SK UKR SKR (A)),0.0,1,niedrig (< 12),2020
K02933 (Touch guard MA/E-25 u. 25-S),0.0,1,niedrig (< 12),2020
"K02691 (Kabel vorkonfektioniert; 230V 2x2,5mm² 7m lg.        SK)",0.0,1,niedrig (< 12),2020
K02968 (Nozzle 39             MA/E-25(PP) 3mm),0.0,1,niedrig (< 12),2020
K04469 (Casing cover),8.0,1,niedrig (< 12),2020
K04653 (Schaltgehäuse-Unterteil; H-Regler),0.0,1,niedrig (< 12),2020
K04703 (Hot air guide 36; Deponie),1.0,1,niedrig (< 12),2020
"K05676 (Paßscheibe; 22 x 32 x 0,2)",1.0,1,niedrig (< 12),2020
"K05991 (Kohlebuerste 230V; BE 1100 , 0042, Satz)",3.0,1,niedrig (< 12),2020
K05814 (Compression nozzle; MA/E-32),1.0,1,niedrig (< 12),2020
K05369 (Zwischendeckel; EBM),1.0,1,niedrig (< 12),2020
K05159 (Litze rot                EBM13; 800826),3.0,1,niedrig (< 12),2020
K05113 (Nozzle),1.0,1,niedrig (< 12),2020
K03843 (Intermediate cover; WX2),3.0,1,niedrig (< 12),2020
"K02400 (Nadelhülse; HK 0808, 8x12x8)",0.0,1,niedrig (< 12),2020
K02395 (Vorlegerad; EBM13),3.0,1,niedrig (< 12),2020
"K02377 (Getriebegehäuse; EBM13, schwarz)",0.0,1,niedrig (< 12),2020
K01212 (Verschlußstopfen F-Type; 300 F 18),0.0,1,niedrig (< 12),2020
K03604 (EMV-Filter 230V),0.0,1,niedrig (< 12),2020
K02698 (Distanzring; 17/3           MA/E-25 u. 25-S / MAK-18),3.0,1,niedrig (< 12),2020
K03582 (Gewindestift; M  4 x  16),0.0,1,niedrig (< 12),2020
"K04380 (Vorwärmdüse 23 mm; 63.5 lang, A18)",0.0,1,niedrig (< 12),2020
"K04384 (Berührschutz; MEK 36,40,58,65)",0.0,1,niedrig (< 12),2020
"K04424 (Halterung MLE; oben 36,40,58,65)",0.0,1,niedrig (< 12),2020
K04554 (Lufterhitzer - Gehäuse; MLE-23 und MLE-17),1.0,1,niedrig (< 12),2020
"K04648 (Kabelverschraubung; M25, Klemmbacken)",5.0,1,niedrig (< 12),2020
"K04718 (Übergangsstück MLE; 36,40,58,65)",0.0,1,niedrig (< 12),2020
"K04413 (Warmluftführung 36,40; Behälterbau)",0.0,1,niedrig (< 12),2020
K04155 (Kohlebürstenführung abschaltbar; Electron),3.0,1,niedrig (< 12),2020
"K04739 (Lüsterklemme; 4,0-6,0²)",3.0,1,niedrig (< 12),2020
K04057 (Chain Link; MULTI),0.0,1,niedrig (< 12),2020
K04077 (Extruder body; MAE/K-36/40/58/65),1.0,1,niedrig (< 12),2020
"K04789 (Einstecktülle; für Schlauch LW13 / NW 7,2)",1.0,1,niedrig (< 12),2020
"K06039 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",0.0,1,niedrig (< 12),2020
"K06040 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",0.0,1,niedrig (< 12),2020
K06088 (Extruder body MM),2.0,1,niedrig (< 12),2020
K06455 (Kabelführung 90° / CWE13),0.0,1,niedrig (< 12),2020
K06975 (Eye screw; Pull Protection MULTI),0.0,1,niedrig (< 12),2020
K06981 (Insert; Pull-Protection; MULTI),0.0,1,niedrig (< 12),2020
K06993 (Cable collar; Pull Protection MULTI),0.0,1,niedrig (< 12),2020
"K07005 (Heizkeil, einteilig, lang, 2,5"" Heizpatrone;Wedge It multi/eco)",0.0,1,niedrig (< 12),2020
"K07105 (Heating cartridge, 3/8"" x 2,5"" ; Wedge It multi/eco)",6.0,1,niedrig (< 12),2020
"K04786 (Schaltgehäuse-Deckel; eloxiert, mN     MM)",2.0,1,niedrig (< 12),2020
K05364 (Wedge Welder; Wedge-It Multi Standard),0.0,1,niedrig (< 12),2020
"K01275 (Drossel; 3/8""                       UKA)",0.0,1,niedrig (< 12),2020
K01345 (Kabel; d = 1  blau),0.0,1,niedrig (< 12),2020
"K01346 (Kabel; d = 0,5 blau)",0.0,1,niedrig (< 12),2020
"K02156 (Rohrheizpatrone; 30x40x270, 230V, 800W)",7.0,1,niedrig (< 12),2020
K02394 (Vorlegewelle; EBM13),1.0,1,niedrig (< 12),2020
K01250 (Reduzierung; PG 9 auf PG 7),0.0,1,niedrig (< 12),2020
"K01240 (Kabel; d = 0,5 rot)",0.0,1,niedrig (< 12),2020
K00480 (Turbine 2. Stufe; 5609),0.0,1,niedrig (< 12),2020
K00539 (Ohrklemme; d 20),3.0,1,niedrig (< 12),2020
"K00549 (Einschraubschlauchtülle; G 3/8"")",1.0,1,niedrig (< 12),2020
K00647 (Untere Förderrolle; UK),1.0,1,niedrig (< 12),2020
"K00674 (Luftschlauch, grau; 14 x 18)",1.0,1,niedrig (< 12),2020
K00698 (Fettkammer; UK SK UKR SKR U5R (A)),0.0,1,niedrig (< 12),2020
K01239 (Kabel; d = 1  schwarz),0.0,1,niedrig (< 12),2020
K03595 (Kabelbaum; WX2Mu),0.0,1,niedrig (< 12),2020
K03600 (Joint),2.0,1,niedrig (< 12),2020
K03355 (Lüfter; 80 x 80 x 25),14.0,2,"mittel (>12, <182)",2020
K02649 (Luftführungseinsatz; Antrieb DB),0.0,1,niedrig (< 12),2020
K03037 (Verschraubung; RQG-P schwarz AD10 PG7),1.0,1,niedrig (< 12),2020
K03038 (Wellschlauch schwarz; Rohrflex-PA6 schwarz AD10 PG7),0.0,1,niedrig (< 12),2020
"K03071 (Druckfeder; 1,6x9,4x15,7x3,5 / VD-227C)",3.0,1,niedrig (< 12),2020
K03072 (Flachkopfschraube ; M  5 x 20),24.0,2,"mittel (>12, <182)",2020
K04407 (Schweißschuhhalter MM; 32 x 15),2.0,1,niedrig (< 12),2020
"K04423 (Halterung MEG; oben 36,40,58,65)",1.0,1,niedrig (< 12),2020
"K04512 (Düse; 40, MA/E-K-40, 4mm)",1.0,1,niedrig (< 12),2020
K04550 (Innen-6kt-Schraube; M  4 x  35),0.0,1,niedrig (< 12),2020
K04551 (Halterung; 35  Behälterbau und Deponie),0.0,1,niedrig (< 12),2020
"K04654 (Schaltgehäuse-Deckel; eloxiert, oN)",0.0,1,niedrig (< 12),2020
"K04097 (Dichtring; f.Winkelk.,k.drehb.Vorwärmdüse)",0.0,1,niedrig (< 12),2020
K04088 (Extruderschnecke; MAE/K-58),0.0,1,niedrig (< 12),2020
"K04119 (Dichtring; 8 x 11,8 x 1)",1.0,1,niedrig (< 12),2020
K04175 (Runddichtring; 10  x 3),0.0,1,niedrig (< 12),2020
K05860 (Temperature sensor for frequency converter),2.0,1,niedrig (< 12),2020
"K06072 (Verbindungsleitung; WX2PBMu-WX2Mu , orange, 1,2m lang)",0.0,1,niedrig (< 12),2020
K07180 (Öl; 100ml; EBM13),0.0,1,niedrig (< 12),2020
"K04944 (Kabel vorkonfektioniert; 1² - 29cm, grün/gelb)",1.0,1,niedrig (< 12),2020
K05144 (Ritzelwelle; 301167),1.0,1,niedrig (< 12),2020
"K05477 (Drucktaster,vandalensicher)",0.0,1,niedrig (< 12),2020
