Bauteil,Menge,Cluster,Frequenz,Jahr
K00582 (Gleitlager; 10 x 16 x 16),7.0,1,niedrig (< 12),2018
K00581 (Gleitlager; 5 x 10 x 10              U2 U4),1.0,1,niedrig (< 12),2018
K00575 (Sicherungsring; A   10 x 1),6.0,1,niedrig (< 12),2018
"K00452 (Linsenschraube M 4 x 10; mit Innensechsrund, TX20)",7.0,1,niedrig (< 12),2018
K00254 (Kugellager  608 2RS1; 8 X 22 X 7),6.0,1,niedrig (< 12),2018
K00645 (Fördergehäuse; UK SK UKR SKR (A)),0.0,1,niedrig (< 12),2018
K02933 (Touch guard MA/E-25 u. 25-S),0.0,1,niedrig (< 12),2018
"K02691 (Kabel vorkonfektioniert; 230V 2x2,5mm² 7m lg.        SK)",0.0,1,niedrig (< 12),2018
K02968 (Nozzle 39             MA/E-25(PP) 3mm),3.0,1,niedrig (< 12),2018
K04469 (Casing cover),6.0,1,niedrig (< 12),2018
K04653 (Schaltgehäuse-Unterteil; H-Regler),1.0,1,niedrig (< 12),2018
K04703 (Hot air guide 36; Deponie),0.0,1,niedrig (< 12),2018
"K05676 (Paßscheibe; 22 x 32 x 0,2)",1.0,1,niedrig (< 12),2018
"K05991 (Kohlebuerste 230V; BE 1100 , 0042, Satz)",1.0,1,niedrig (< 12),2018
K05814 (Compression nozzle; MA/E-32),0.0,1,niedrig (< 12),2018
K05369 (Zwischendeckel; EBM),1.0,1,niedrig (< 12),2018
K05159 (Litze rot                EBM13; 800826),3.0,1,niedrig (< 12),2018
K05113 (Nozzle),1.0,1,niedrig (< 12),2018
K03843 (Intermediate cover; WX2),3.0,1,niedrig (< 12),2018
"K02400 (Nadelhülse; HK 0808, 8x12x8)",1.0,1,niedrig (< 12),2018
K02395 (Vorlegerad; EBM13),3.0,1,niedrig (< 12),2018
"K02377 (Getriebegehäuse; EBM13, schwarz)",0.0,1,niedrig (< 12),2018
K01212 (Verschlußstopfen F-Type; 300 F 18),2.0,1,niedrig (< 12),2018
K03604 (EMV-Filter 230V),0.0,1,niedrig (< 12),2018
K02698 (Distanzring; 17/3           MA/E-25 u. 25-S / MAK-18),11.0,1,niedrig (< 12),2018
K03582 (Gewindestift; M  4 x  16),0.0,1,niedrig (< 12),2018
"K04380 (Vorwärmdüse 23 mm; 63.5 lang, A18)",5.0,1,niedrig (< 12),2018
"K04384 (Berührschutz; MEK 36,40,58,65)",0.0,1,niedrig (< 12),2018
"K04424 (Halterung MLE; oben 36,40,58,65)",0.0,1,niedrig (< 12),2018
K04554 (Lufterhitzer - Gehäuse; MLE-23 und MLE-17),0.0,1,niedrig (< 12),2018
"K04648 (Kabelverschraubung; M25, Klemmbacken)",3.0,1,niedrig (< 12),2018
"K04718 (Übergangsstück MLE; 36,40,58,65)",0.0,1,niedrig (< 12),2018
"K04413 (Warmluftführung 36,40; Behälterbau)",0.0,1,niedrig (< 12),2018
K04155 (Kohlebürstenführung abschaltbar; Electron),0.0,1,niedrig (< 12),2018
"K04739 (Lüsterklemme; 4,0-6,0²)",1.0,1,niedrig (< 12),2018
K04057 (Chain Link; MULTI),1.0,1,niedrig (< 12),2018
K04077 (Extruder body; MAE/K-36/40/58/65),1.0,1,niedrig (< 12),2018
"K04789 (Einstecktülle; für Schlauch LW13 / NW 7,2)",0.0,1,niedrig (< 12),2018
"K06039 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",0.0,1,niedrig (< 12),2018
"K06040 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",0.0,1,niedrig (< 12),2018
K06088 (Extruder body MM),3.0,1,niedrig (< 12),2018
K06455 (Kabelführung 90° / CWE13),0.0,1,niedrig (< 12),2018
K06975 (Eye screw; Pull Protection MULTI),1.0,1,niedrig (< 12),2018
K06981 (Insert; Pull-Protection; MULTI),1.0,1,niedrig (< 12),2018
K06993 (Cable collar; Pull Protection MULTI),1.0,1,niedrig (< 12),2018
"K07005 (Heizkeil, einteilig, lang, 2,5"" Heizpatrone;Wedge It multi/eco)",0.0,1,niedrig (< 12),2018
"K07105 (Heating cartridge, 3/8"" x 2,5"" ; Wedge It multi/eco)",3.0,1,niedrig (< 12),2018
"K04786 (Schaltgehäuse-Deckel; eloxiert, mN     MM)",12.0,2,"mittel (>12, <182)",2018
K05364 (Wedge Welder; Wedge-It Multi Standard),0.0,1,niedrig (< 12),2018
"K01275 (Drossel; 3/8""                       UKA)",0.0,1,niedrig (< 12),2018
K01345 (Kabel; d = 1  blau),0.0,1,niedrig (< 12),2018
"K01346 (Kabel; d = 0,5 blau)",0.0,1,niedrig (< 12),2018
"K02156 (Rohrheizpatrone; 30x40x270, 230V, 800W)",0.0,1,niedrig (< 12),2018
K02394 (Vorlegewelle; EBM13),1.0,1,niedrig (< 12),2018
K01250 (Reduzierung; PG 9 auf PG 7),0.0,1,niedrig (< 12),2018
"K01240 (Kabel; d = 0,5 rot)",0.0,1,niedrig (< 12),2018
K00480 (Turbine 2. Stufe; 5609),0.0,1,niedrig (< 12),2018
K00539 (Ohrklemme; d 20),0.0,1,niedrig (< 12),2018
"K00549 (Einschraubschlauchtülle; G 3/8"")",0.0,1,niedrig (< 12),2018
K00647 (Untere Förderrolle; UK),1.0,1,niedrig (< 12),2018
"K00674 (Luftschlauch, grau; 14 x 18)",0.0,1,niedrig (< 12),2018
K00698 (Fettkammer; UK SK UKR SKR U5R (A)),4.0,1,niedrig (< 12),2018
K01239 (Kabel; d = 1  schwarz),0.0,1,niedrig (< 12),2018
K03595 (Kabelbaum; WX2Mu),2.0,1,niedrig (< 12),2018
K03600 (Joint),3.0,1,niedrig (< 12),2018
K03355 (Lüfter; 80 x 80 x 25),19.0,2,"mittel (>12, <182)",2018
K02649 (Luftführungseinsatz; Antrieb DB),0.0,1,niedrig (< 12),2018
K03037 (Verschraubung; RQG-P schwarz AD10 PG7),0.0,1,niedrig (< 12),2018
K03038 (Wellschlauch schwarz; Rohrflex-PA6 schwarz AD10 PG7),0.0,1,niedrig (< 12),2018
"K03071 (Druckfeder; 1,6x9,4x15,7x3,5 / VD-227C)",0.0,1,niedrig (< 12),2018
